WaterbodyID,Length,Age
00681JENR,405,29
00681JENR,525,22
00681JENR,395,26
00681JENR,405,19
00681JENR,390,17
00681JENR,460,32
00681JENR,400,25
00681JENR,400,23
00681JENR,392,21
00681JENR,430,22
00681JENR,420,22
00681JENR,400,14
00681JENR,400,20
00681JENR,378,11
00681JENR,405,20
00681JENR,405,12
00681JENR,385,14
00681JENR,135,3
00681JENR,405,27
00681JENR,398,19
00681JENR,286,16
00681JENR,200,5
00681JENR,205,5
00681JENR,208,5
00681JENR,210,6
00681JENR,217,6
00681JENR,395,15
00681JENR,195,5
00681JENR,680,25
00681JENR,118,2
00681JENR,385,8
00681JENR,400,25
00681JENR,440,23
00681JENR,480,21
00681JENR,176,4
00681JENR,445,14
00681JENR,290,10
00681JENR,174,5
00681JENR,172,4
00681JENR,191,4
00681JENR,165,5
00681JENR,245,6
00681JENR,238,6
00681JENR,180,4
00681JENR,185,5
00681JENR,181,5
00681JENR,145,3
00681JENR,227,4
00681JENR,155,3
00804LKEC,800,25
00804LKEC,540,8
00804LKEC,530,7
00804LKEC,530,7
00804LKEC,530,6
00804LKEC,525,8
00804LKEC,512,7
00804LKEC,502,7
00804LKEC,500,7
00804LKEC,495,7
00804LKEC,493,7
00804LKEC,490,8
00804LKEC,490,7
00804LKEC,490,8
00804LKEC,485,6
00804LKEC,770,30
00804LKEC,765,27
00804LKEC,760,30
00804LKEC,720,27
00804LKEC,710,20
00804LKEC,705,16
00804LKEC,700,31
00804LKEC,690,19
00804LKEC,675,26
00804LKEC,675,24
00804LKEC,595,12
00804LKEC,591,25
00804LKEC,589,20
00804LKEC,578,26
00804LKEC,577,22
00804LKEC,565,25
00804LKEC,565,24
00804LKEC,565,14
00804LKEC,564,20
00804LKEC,563,12
00804LKEC,562,14
00804LKEC,560,9
00804LKEC,557,24
00804LKEC,555,18
00804LKEC,553,12
00804LKEC,553,25
00804LKEC,552,25
00804LKEC,552,25
00804LKEC,550,28
00804LKEC,549,27
00804LKEC,546,17
00804LKEC,545,26
00804LKEC,544,26
00804LKEC,543,18
00804LKEC,541,27
00804LKEC,541,21
00804LKEC,540,29
00804LKEC,540,10
00804LKEC,540,13
00804LKEC,538,27
00804LKEC,537,24
00804LKEC,536,19
00804LKEC,534,23
00804LKEC,533,24
00804LKEC,531,26
00804LKEC,528,24
00804LKEC,526,24
00804LKEC,526,28
00804LKEC,525,23
00804LKEC,525,24
00804LKEC,525,25
00804LKEC,524,24
00804LKEC,520,8
00804LKEC,519,10
00804LKEC,518,26
00804LKEC,518,7
00804LKEC,517,26
00804LKEC,516,10
00804LKEC,515,8
00804LKEC,515,24
00804LKEC,512,26
00804LKEC,507,9
00804LKEC,504,7
00804LKEC,502,23
00804LKEC,495,8
00804LKEC,495,8
00804LKEC,492,9
00804LKEC,490,21
00804LKEC,485,7
00804LKEC,485,6
00804LKEC,483,7
00804LKEC,481,8
00804LKEC,478,7
00804LKEC,476,9
00804LKEC,475,5
00804LKEC,467,8
00804LKEC,458,7
00804LKEC,315,6
00804LKEC,305,4
00804LKEC,303,4
00804LKEC,270,4
00804LKEC,264,4
00804LKEC,258,4
01324NATR,540,12
01324NATR,818,34
01324NATR,817,22
01324NATR,787,36
01324NATR,787,22
01324NATR,782,32
01324NATR,770,33
01324NATR,760,19
01324NATR,739,17
01324NATR,733,33
01324NATR,733,16
01324NATR,729,20
01324NATR,718,21
01324NATR,717,26
01324NATR,684,15
01324NATR,668,15
01324NATR,651,15
01324NATR,647,16
01324NATR,642,13
01324NATR,640,14
01324NATR,637,14
01324NATR,631,15
01324NATR,582,12
01324NATR,460,11
01324NATR,433,7
01324NATR,430,8
01324NATR,426,9
01324NATR,419,9
01324NATR,860,30
01324NATR,858,22
01324NATR,845,22
01324NATR,818,17
01324NATR,805,33
01324NATR,804,47
01324NATR,795,23
01324NATR,795,36
01324NATR,765,26
01324NATR,735,20
01324NATR,725,31
01324NATR,725,26
01324NATR,718,29
01324NATR,705,14
01324NATR,704,18
01324NATR,695,18
01324NATR,695,15
01324NATR,680,16
01324NATR,673,13
01324NATR,610,11
01324NATR,595,10
01324NATR,584,11
01324NATR,577,10
01324NATR,574,10
01324NATR,546,11
01324NATR,535,7
01324NATR,524,12
01324NATR,309,5
