WaterbodyID,Length,Maturity
00681JENR,405,1
00681JENR,525,0
00681JENR,384,0
00681JENR,395,1
00681JENR,405,1
00681JENR,390,1
00681JENR,460,0
00681JENR,400,1
00681JENR,400,1
00681JENR,392,1
00681JENR,430,1
00681JENR,420,0
00681JENR,425,0
00681JENR,400,1
00681JENR,400,1
00681JENR,378,1
00681JENR,405,1
00681JENR,405,0
00681JENR,385,0
00681JENR,135,0
00681JENR,405,1
00681JENR,398,0
00681JENR,286,0
00681JENR,200,0
00681JENR,205,0
00681JENR,208,0
00681JENR,210,0
00681JENR,217,0
00681JENR,395,0
00681JENR,195,0
00681JENR,680,1
00681JENR,118,0
00681JENR,385,0
00681JENR,400,1
00681JENR,440,0
00681JENR,480,0
00681JENR,176,0
00681JENR,445,0
00681JENR,290,0
00681JENR,174,0
00681JENR,172,0
00681JENR,191,0
00681JENR,165,0
00681JENR,540,0
00681JENR,245,0
00681JENR,238,0
00681JENR,180,0
00681JENR,185,0
00681JENR,181,0
00681JENR,145,0
00681JENR,227,0
00681JENR,155,0
00681JENR,187,0
00681JENR,165,0
00804LKEC,800,1
00804LKEC,540,1
00804LKEC,530,1
00804LKEC,530,1
00804LKEC,530,1
00804LKEC,525,1
00804LKEC,512,1
00804LKEC,502,1
00804LKEC,500,1
00804LKEC,495,1
00804LKEC,493,1
00804LKEC,490,1
00804LKEC,490,1
00804LKEC,490,1
00804LKEC,485,0
00804LKEC,770,1
00804LKEC,765,1
00804LKEC,760,1
00804LKEC,720,1
00804LKEC,710,1
00804LKEC,705,1
00804LKEC,700,1
00804LKEC,690,1
00804LKEC,675,1
00804LKEC,675,1
00804LKEC,595,1
00804LKEC,591,0
00804LKEC,589,0
00804LKEC,578,1
00804LKEC,577,0
00804LKEC,565,0
00804LKEC,565,0
00804LKEC,565,1
00804LKEC,564,0
00804LKEC,563,0
00804LKEC,562,0
00804LKEC,560,1
00804LKEC,557,0
00804LKEC,555,1
00804LKEC,553,0
00804LKEC,553,0
00804LKEC,552,0
00804LKEC,552,0
00804LKEC,550,0
00804LKEC,549,0
00804LKEC,546,0
00804LKEC,545,0
00804LKEC,544,0
00804LKEC,543,0
00804LKEC,541,0
00804LKEC,541,0
00804LKEC,540,1
00804LKEC,540,1
00804LKEC,540,0
00804LKEC,538,0
00804LKEC,537,0
00804LKEC,536,0
00804LKEC,534,0
00804LKEC,533,1
00804LKEC,531,0
00804LKEC,528,0
00804LKEC,526,0
00804LKEC,526,0
00804LKEC,525,1
00804LKEC,525,1
00804LKEC,525,0
00804LKEC,524,0
00804LKEC,520,0
00804LKEC,519,0
00804LKEC,518,1
00804LKEC,518,0
00804LKEC,517,0
00804LKEC,516,0
00804LKEC,515,0
00804LKEC,515,1
00804LKEC,512,0
00804LKEC,507,0
00804LKEC,504,0
00804LKEC,502,0
00804LKEC,495,0
00804LKEC,495,0
00804LKEC,492,0
00804LKEC,490,1
00804LKEC,485,0
00804LKEC,485,1
00804LKEC,483,0
00804LKEC,481,0
00804LKEC,478,0
00804LKEC,476,0
00804LKEC,475,0
00804LKEC,467,0
00804LKEC,458,0
00804LKEC,315,0
00804LKEC,305,0
00804LKEC,303,0
00804LKEC,270,0
00804LKEC,264,0
00804LKEC,258,0
01324NATR,540,0
01324NATR,818,1
01324NATR,817,1
01324NATR,787,1
01324NATR,787,1
01324NATR,782,1
01324NATR,770,1
01324NATR,760,1
01324NATR,739,1
01324NATR,733,1
01324NATR,733,1
01324NATR,729,1
01324NATR,718,1
01324NATR,717,1
01324NATR,684,1
01324NATR,668,1
01324NATR,651,1
01324NATR,647,1
01324NATR,642,1
01324NATR,640,1
01324NATR,637,1
01324NATR,631,1
01324NATR,582,0
01324NATR,460,1
01324NATR,433,1
01324NATR,431,0
01324NATR,430,1
01324NATR,426,1
01324NATR,419,1
01324NATR,431,0
01324NATR,860,1
01324NATR,858,1
01324NATR,845,1
01324NATR,818,1
01324NATR,805,1
01324NATR,804,1
01324NATR,795,0
01324NATR,795,1
01324NATR,765,1
01324NATR,735,0
01324NATR,725,1
01324NATR,725,0
01324NATR,718,0
01324NATR,705,0
01324NATR,704,0
01324NATR,695,0
01324NATR,695,0
01324NATR,680,0
01324NATR,673,1
01324NATR,610,0
01324NATR,595,0
01324NATR,584,1
01324NATR,577,1
01324NATR,574,0
01324NATR,546,1
01324NATR,535,1
01324NATR,524,1
01324NATR,309,1
01324NATR,259,0
YT_Aishihik,784,1
YT_Aishihik,680,1
YT_Aishihik,640,1
YT_Aishihik,630,1
YT_Aishihik,620,1
YT_Aishihik,618,1
YT_Aishihik,600,1
YT_Aishihik,574,1
YT_Aishihik,574,1
YT_Aishihik,574,1
YT_Aishihik,572,1
YT_Aishihik,572,1
YT_Aishihik,570,1
YT_Aishihik,552,1
YT_Aishihik,550,1
YT_Aishihik,540,1
YT_Aishihik,538,1
YT_Aishihik,520,1
YT_Aishihik,518,1
YT_Aishihik,514,1
YT_Aishihik,510,1
YT_Aishihik,510,1
YT_Aishihik,508,1
YT_Aishihik,508,1
YT_Aishihik,500,1
YT_Aishihik,494,1
YT_Aishihik,490,1
YT_Aishihik,480,1
YT_Aishihik,470,1
YT_Aishihik,458,1
YT_Aishihik,456,0
YT_Aishihik,442,1
YT_Aishihik,436,1
YT_Aishihik,434,1
YT_Aishihik,416,1
YT_Aishihik,410,0
YT_Aishihik,394,1
YT_Aishihik,390,0
YT_Aishihik,316,0
YT_Aishihik,950,1
YT_Aishihik,856,1
YT_Aishihik,737,1
YT_Aishihik,712,1
YT_Aishihik,620,1
YT_Aishihik,617,1
YT_Aishihik,610,1
YT_Aishihik,604,1
YT_Aishihik,593,1
YT_Aishihik,592,1
YT_Aishihik,586,1
YT_Aishihik,575,1
YT_Aishihik,564,1
YT_Aishihik,551,1
YT_Aishihik,544,1
YT_Aishihik,537,1
YT_Aishihik,535,1
YT_Aishihik,530,0
YT_Aishihik,528,1
YT_Aishihik,524,1
YT_Aishihik,522,1
YT_Aishihik,521,1
YT_Aishihik,508,1
YT_Aishihik,507,1
YT_Aishihik,496,0
YT_Aishihik,495,0
YT_Aishihik,495,0
YT_Aishihik,486,0
YT_Aishihik,484,0
YT_Aishihik,480,0
YT_Aishihik,474,1
YT_Aishihik,460,0
YT_Aishihik,450,0
YT_Aishihik,448,0
YT_Aishihik,445,0
YT_Aishihik,432,0
YT_Aishihik,430,0
YT_Aishihik,427,0
YT_Aishihik,424,0
YT_Aishihik,423,0
YT_Aishihik,412,0
YT_Aishihik,410,0
YT_Aishihik,410,0
YT_Aishihik,397,0
YT_Aishihik,395,0
YT_Aishihik,395,1
YT_Aishihik,391,0
YT_Aishihik,390,0
YT_Aishihik,387,0
YT_Aishihik,387,0
YT_Aishihik,372,0
YT_Aishihik,370,0
YT_Aishihik,367,0
YT_Aishihik,635,1
YT_Aishihik,625,1
YT_Aishihik,610,1
YT_Aishihik,605,1
YT_Aishihik,600,1
YT_Aishihik,590,1
YT_Aishihik,570,1
YT_Aishihik,570,0
YT_Aishihik,565,1
YT_Aishihik,530,1
YT_Aishihik,510,0
YT_Aishihik,505,1
YT_Aishihik,500,0
YT_Aishihik,495,0
YT_Aishihik,490,0
YT_Aishihik,475,0
YT_Aishihik,470,0
YT_Aishihik,460,0
YT_Aishihik,445,0
YT_Aishihik,440,0
YT_Aishihik,430,0
YT_Aishihik,430,0
YT_Aishihik,420,0
YT_Aishihik,420,1
YT_Aishihik,415,0
YT_Aishihik,415,0
YT_Aishihik,405,0
YT_Aishihik,390,0
YT_Aishihik,920,1
YT_Aishihik,900,1
YT_Aishihik,890,1
YT_Aishihik,865,1
YT_Aishihik,860,1
YT_Aishihik,860,1
YT_Aishihik,855,1
YT_Aishihik,850,1
YT_Aishihik,785,1
YT_Aishihik,770,1
YT_Aishihik,760,1
YT_Aishihik,745,1
YT_Aishihik,735,1
YT_Aishihik,735,1
YT_Aishihik,730,1
YT_Aishihik,720,1
YT_Aishihik,715,1
YT_Aishihik,710,1
YT_Aishihik,700,1
YT_Aishihik,690,1
YT_Aishihik,685,0
YT_Aishihik,680,1
YT_Aishihik,675,1
YT_Aishihik,660,0
YT_Aishihik,645,1
YT_Aishihik,640,1
YT_Aishihik,640,0
YT_Aishihik,640,1
YT_Aishihik,635,0
YT_Aishihik,625,0
YT_Aishihik,615,1
YT_Aishihik,615,1
YT_Aishihik,610,0
YT_Aishihik,590,1
YT_Aishihik,585,1
YT_Aishihik,580,0
YT_Aishihik,580,1
YT_Aishihik,570,1
YT_Aishihik,560,1
YT_Aishihik,560,0
YT_Aishihik,560,0
YT_Aishihik,555,1
YT_Aishihik,555,1
YT_Aishihik,550,1
YT_Aishihik,550,0
YT_Aishihik,550,1
