Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),MAT,MWMT,MCMT,DD_0,DD5,DD_18,DD18,NFFD,Mean_depth,Max_depth,Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort.ha,CaughtFish,Caught.ha,CPUE,Other_Info,Classification,Fetch..m.,Minimum Travel Time,Guiding,Provincial.Park.Campgrounds.and.Rec.Sites,Private.Lots,Lodges.and.Marinas,Permits.and.Leases.for.Camps.and.Cabins,Indian.Reserves,FN.netting,Comment,Exploitation_Rank,Road.Surface,ROAD_ACCES,Distance.to.Nearest.Road..m.,Time.to.Nearest.Road..minutes.,ROAD_NAM_1,Length.of.Nearest.Road.Segment..m.,ROAD_CLASS
Aconitum Lake,00681JENR,Skeena,-131.6113456,59.39878624,1225,188.2082317,-2.3,10.5,-15.4,2029,490,7376,3,105,14,27,0.026349152,28,2,NR,NA,NA,NA,NA,NA,,,2502.971484,NA,Yes,0,0,0,1,0,No,outfitter cabin non-tenured,2,NA,NA,NA,NA,NA,NA,NA
Adams Lake,00583ADMS,Thompson,-119.5186204,51.23525894,408,13107.67403,7.2,19.3,-5.8,554,1994,4093,170,207,169,457.2,22.1519691,57,0.337278107,PR,NA,NA,NA,NA,NA,,,54211.18665,0.72,No,9,145,1,1,3,No,,5,rough,Known Road Acess,35.32,0.52,,87.43,unclassified
Aeroplane Lake,00804LKEC,Peace,-127.8835964,59.35338761,701,575.5689728,-1.2,14.1,-18.5,2181,926,6988,14,127,11,37,0.063312587,306,27.81818182,NR,NA,NA,NA,NA,NA,,,5250.620431,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Aiken Lake,00345MESI,Omineca,-125.7597984,56.42850068,941,231.7998812,0.2,12.6,-14.7,1596,808,6470,9,130,12,34,0.027815986,48,4,PR,NA,NA,NA,NA,NA,,,4034.874001,8.07,Yes,0,3,0,1,0,No,,4,loose,Known Road Acess,43.07,0.2,,135.5,unclassified
Airline Lake,01324NATR,Omineca,-125.0488664,55.11597715,917,434.6630609,1.2,12.7,-11.7,1329,842,6115,10,141,6,19,0.026079784,94,15.66666667,NR,NA,NA,NA,NA,NA,,,6215.520717,3.28,Yes,0,0,0,1,0,No,,2,rough,Known Road Acess,132.47,1.86,,309.63,unclassified
Aishihik,YT_Aishihik,Yukon,-137.151679,61.452,915,14500,-3.8,12.3,-20.9,2760,649,7934,6,105,37.6,114,5.45,61,1.622340426,FR,2456,0.16937931,963,0.066413793,0.392100977,Historic net fishery,Conservation Water,54371.59538,1.83,No,Yes,Yes,Yes,Yes,Yes,Yes,"Large lake, moderate-high yield, large population, easy access, moderate pressure",5,Unpaved,Known Road Acess,181.63,1.67,None,836.63,Local / Str*
Allan Lake,00104MDEA,Skeena,-129.565733,59.26496812,907,43.89099723,-1.4,12.1,-15.8,1913,677,7043,6,118,4,19.8,0.00175564,125,31.25,PR,NA,NA,NA,NA,NA,,,1716.654108,0.54,No,0,0,0,0,0,No,informal rec site?,4,rough,Known Road Acess,31.99,1.62,,270.02,unclassified
Alligator,YT_Alligator,Yukon,-135.355272,60.383,1128,629,-3.3,9.7,-17.3,2241,401,7759,2,78,5.42,10,0.034,31,5.719557196,NR,NA,NA,NA,NA,NA,,Conservation Water,6324.92476,NA,No,No,No,No,Yes,No,No,"Small lake, moderate-low yield, medium population, relatively remote, high pressure",2,NA,NA,NA,NA,NA,NA,NA
Alouette Lake,00456LFRA,LMainland,-122.4465854,49.31757713,126,1625.256971,9.3,17.2,1.8,140,1947,3261,93,289,71,159,1.15393245,20,0.281690141,PR,NA,NA,NA,NA,NA,,,17041.75169,0.56,No,0,0,0,0,0,No,,4,rough,Known Road Acess,82.89,0.95,,158.19,unclassified
Arctic Lake,01162PARS,Omineca,-121.6787743,54.42239898,748,107.4247453,2.3,14.1,-11.2,1184,1064,5721,18,152,6.79,35,0.00729414,160,23.5640648,NR,NA,NA,NA,NA,NA,,,4897.765251,3.98,No,0,0,0,0,1,No,,4,rough,Possible Road Access,369.14,9.63,,1604.3,unclassified
Atlin,00020ATLL,SkeenaYT,-133.77075,59.6006,670,63450,0,12.9,-15.1,1650,812,6544,9,136,85.6,283,54.4,100,1.168224299,PR,5832,0.091914894,2016,0.03177305,0.345679012,Current commercial and netting fishery ,Special Management Water,102624.864,0.02,Yes,1,195,4,2,3,Yes,,5,paved,Known Road Acess,2.42,0.14,Lake St,120.39,local
Atna Lake,01512MORR,Skeena,-127.7937671,54.02692701,779,512.99801,2.3,12.8,-8.7,1010,895,5696,11,143,13.35,60,0.068485234,NA,NA,NR,NA,NA,NA,NA,NA,,,5001.599205,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Augier Lake,02159BABL,Skeena,-125.5966092,54.42491263,890,906.1793655,2,13.1,-10.3,1136,893,5835,11,145,27,60.3,0.244668429,60,2.222222222,FR,NA,NA,NA,NA,NA,,,11341.72146,0.53,No,1,0,0,0,1,No,,4,loose,Known Road Acess,41.77,0.11,,75.04,unclassified
Babine Lake,00189BABL,Skeena,-125.5419754,54.47261424,711,46499.32479,2.5,13.8,-10.6,1095,1012,5642,16,151,55,186,25.57462863,60,1.090909091,PR,NA,NA,NA,NA,NA,,,131107.1129,1.07,Yes,5,236,7,3,16,Yes,"Babine Lake, Babine, Tukii, Ookpik, Coopdogg, Spindrift lodges",5,paved,Known Road Acess,59.57,0.12,Main St,102.1,local
Bates,YT_Bates,Yukon,-137.603636,60.2487,680,1958,-2.2,12.3,-17.9,2237,674,7355,6,109,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,13612.9937,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Batnuni Lake,00446EUCH,Cariboo,-123.9858917,53.36494137,871,513.6173954,2.4,14,-10.8,1158,1037,5685,17,139,11.62,NA,0.059682341,98,8.43373494,FR,NA,NA,NA,NA,NA,,,7396.710728,3.35,No,2,3,0,0,0,No,,4,loose,Known Road Acess,15.47,0.14,access road,95.76,service
Bear Lake,00918SUST,Skeena,-126.8439197,56.15095736,788,1893.60149,1.1,13.4,-13.7,1455,923,6157,13,140,14,75,0.265104209,40,2.857142857,NR,NA,NA,NA,NA,NA,,,20434.14504,7.21,Yes,0,1,0,0,4,No,,2,loose,Possible Road Access,4594.18,1.05,,697.4,resource
Beaverpond Lower Lake,00849UOMI,Omineca,-125.8726659,55.75092048,1061,108.3121849,0.1,11.6,-13.4,1523,697,6513,6,122,6.83,15.8,0.007397722,80,11.71303075,NR,NA,NA,NA,NA,NA,,,2265.935272,6.83,No,0,0,0,0,0,No,,4,unknown,Possible Road Access,1071.16,26.42,,2201.55,unclassified
Beaverpond Upper Lake,00945UOMI,Omineca,-125.9126862,55.71839544,1084,122.3195807,0.2,11.7,-12.9,1489,704,6468,6,123,6.47,18.8,0.007914077,80,12.36476043,FR,NA,NA,NA,NA,NA,,,2859.03522,6.49,No,0,0,0,0,0,No,,4,unknown,Known Road Acess,154.31,26.42,,2201.55,unclassified
Bednesti Lake,00344LCHL,Omineca,-123.393494,53.86681545,810,263.1427599,2.9,14.8,-10.9,1115,1147,5516,24,157,8,20.7,0.021051421,90,11.25,FR,NA,NA,NA,NA,NA,,,4753.946149,0.73,No,2,107,1,0,0,No,At least 2 informal access points boat launches,4,loose,Known Road Acess,39.89,0.58,Bednesti Lake South Rd,388.52,local
Bennett,00013KUSR,SkeenaYT,-134.864776,60.0859,656,9680,-1.2,13,-17.7,2017,802,6981,9,124,61.9,123,5.99,37.45,0.605008078,PR,1255,0.12964876,128,0.01322314,0.101992032,"Current commercial and netting fishery, CTFN",Conservation Water,39904.62883,0.06,No,0,3,0,0,0,No,other features in Yukon portion,4,Unpaved,Known Road Acess,0,0.06,Waterfront Drive,30.65,Local / Str*
Bentzi Lake,00353CHES,Omineca,-124.868257,53.77420387,832,176.7917993,2.4,13.9,-10.7,1117,1022,5660,17,144,13,31.5,0.022982934,116,8.923076923,NR,NA,NA,NA,NA,NA,,,2725.984321,1.13,No,0,0,0,0,0,No,,3,loose,Possible Road Access,259.83,2.13,,1417.42,unclassified
Berman Lake,00392LCHL,Omineca,-123.3360533,53.85227711,805,43.35973009,2.9,14.8,-10.7,1101,1153,5492,25,158,3,16.5,0.001300792,103,34.33333333,FR,NA,NA,NA,NA,NA,,,1360.642913,0.69,No,1,22,0,0,0,No,"Berman has LT?, I guess since it's connected to Bednesti; Berman Regional Park day-use access",4,rough,Known Road Acess,0.34,0.75,,125.4,unclassified
Big Kalzas,YT_Big Kalzas,Yukon,-134.603391,63.2477,788,4220,-3.3,13.5,-21.3,2647,739,7725,9,117,64.6,135,2.73,55,0.851393189,NR,NA,NA,NA,NA,NA,,General Regulations,24193.21972,NA,Yes,No,No,No,No,No,No,"Medium-large lake, moderate yield, unknown population size, remote",2,NA,NA,NA,NA,NA,NA,NA
Big Lake,02219QUES,Cariboo,-121.8380753,52.38230949,821,576.9485057,4.1,15.4,-8.8,868,1278,5071,33,161,13,40.8,0.075003306,265,20.38461538,PR,NA,NA,NA,NA,NA,,,6830.102042,0.91,No,0,98,0,0,0,No,"busy lake (~2500 Angler days), well developed but without campground",3,loose,Known Road Acess,34.73,0.02,Lakeview Rd,15.93,local
Big Salmon,YT_Big Salmon,Yukon,-133.283422,61.277,784,987,-2.9,12.6,-21.3,2491,696,7605,7,109,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,9450.034805,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Bigfoot Lake,00016JENR,Skeena,-131.2413553,59.66178977,1171,307.4579353,-2.8,10.4,-16.3,2175,469,7572,3,101,8.78,22,0.026994807,26,2.961275626,NR,NA,NA,NA,NA,NA,,,4365.358017,NA,Yes,0,0,0,1,0,No,outfitter cabin non-tenured,2,NA,NA,NA,NA,NA,NA,NA
Binta Lake,02091FRAN,Skeena,-125.4616528,53.86932008,819,832.8872502,2.5,13.7,-10.1,1066,1002,5623,16,149,21,40.2,0.174906323,74,3.523809524,FR,NA,NA,NA,NA,NA,,,8806.892717,1.52,No,2,15,0,1,1,No,,3,rough,Known Road Acess,44.05,0.38,,63.91,unclassified
Birches Lake,01214LKEC,Peace,-127.7526232,59.18025912,661,306.2687577,-1.2,14.2,-18.7,2191,943,6973,15,128,15,41.5,0.045940314,392,26.13333333,NR,NA,NA,NA,NA,NA,,,3502.062957,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Black Fox Lake,00046SPAT,Skeena,-128.8767003,57.70882679,1233,24.84430923,-1,9.9,-12.4,1610,484,6933,3,106,4.66,18,0.001157745,56,12.01716738,NR,NA,NA,NA,NA,NA,,,1074.310978,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Blind,YT_Blind,Yukon,-132.479504,62.2821,1155,416,-3.8,12,-22.3,2691,594,7943,5,101,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,6867.755641,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Blue Swan Lake,02094LRAN,Skeena,-130.1995995,59.42553779,1497,202.4717848,-3.3,8.7,-14.8,2162,328,7760,1,92,14,43,0.02834605,18,1.285714286,NR,NA,NA,NA,NA,NA,,,3885.843184,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Bonnet Plume,YT_Bonnet Plume,Yukon,-131.976237,64.3128,1108,405,-6.3,10.8,-23.3,3322,434,8845,2,80,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,7038.312653,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Boreal Lake,00229TURN,Peace,-127.6699308,58.80206181,944,84.87817463,-1,12.2,-15.5,1849,730,6895,7,120,6,12,0.00509269,294,49,NR,NA,NA,NA,NA,NA,,,1840.663006,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Bosk Lake,01105HORS,Cariboo,-120.8045002,52.16998349,998,500.9282473,3.4,14.3,-8.3,897,1104,5306,21,146,19,49,0.095176367,240,12.63157895,PR,NA,NA,NA,NA,NA,,,5339.253461,2.07,No,1,6,0,0,0,No,,3,rough,Known Road Acess,86.44,1.56,,259.96,unclassified
Bowron Lake,00947BOWR,Cariboo,-121.3851649,53.23804153,914,1021.237806,3.4,14,-8.7,906,1120,5332,19,153,16,63.4,0.163398049,NA,NA,FR,NA,NA,NA,NA,NA,,,9581.138637,1.48,No,1,37,0,0,0,No,Bowron Lake Provincial Park on lake. 25 camp sites,3,loose,Known Road Acess,6.53,0.32,,211.2,unclassified
Boya Lake,01523DEAR,Skeena,-129.0992216,59.36961542,697,609.5554001,-0.9,14.2,-17.9,2117,949,6886,15,130,9.64,NA,0.058761141,NA,NA,PR,NA,NA,NA,NA,NA,,,5515.756974,0.76,No,1,0,0,0,0,No,Provincial Park campground,3,rough,Known Road Acess,10.4,6.41,,1068.02,unclassified
Braeburn,YT_Braeburn,Yukon,-135.802734,61.4555,695,558,-3.1,13.4,-21.1,2675,795,7659,9,110,14.3,50,0.08,250,17.48251748,PR,299,0.535842294,10,0.017921147,0.033444816,Depleted population,Special Management Water,6347.078023,0.9,No,Yes,Yes,Yes,Yes,No,No,"Small lake, moderate-low yield, very small population, low pressure",5,Unpaved,Known Road Acess,17.96,0.2,Braeburn Lake Subdivision,101.38,Local / Str*
Bridge Lake,00903BRID,Cariboo,-120.7540149,51.5090886,1136,1366.313857,2.9,13.5,-8.7,966,999,5512,15,141,14,47,0.19128394,134,9.571428571,PR,NA,NA,NA,NA,NA,,,7044.982525,0.6,Yes,1,295,0,0,0,No,"busy lake; stocked with Rb and KO; >5000 angler days; Moondance Bay Resort was operational but has not been since 2015; no other resorts to my knowledge, but there is a small provincial park with campground (13 sites)",4,paved,Known Road Acess,5.12,0.09,Bridge Lake Access No 12 Rd,72.73,local
Budd Lake,00114FIRE,Omineca,-126.6108399,57.25751768,1072,40.37815344,-0.9,11.4,-14.4,1750,625,6895,5,114,4,14,0.001615126,46,11.5,NR,NA,NA,NA,NA,NA,,,1471.280565,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Burnt Rose,00040TURN,Peace,-128.0487364,59.11694739,820,84.72357754,-1,13.5,-17.1,2029,859,6901,11,125,6.57,NA,0.005566339,NA,NA,NR,NA,NA,NA,NA,NA,,,1867.489406,NA,Yes,0,0,0,2,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Byrnes Lake,01119UOMI,Omineca,-125.5681503,55.63615471,984,59.25970059,0,11.3,-13.6,1530,654,6568,5,117,6.18,11.5,0.003662249,48,7.766990291,FR,NA,NA,NA,NA,NA,,,2152.262295,6.27,No,0,0,0,0,0,No,,4,rough,Known Road Acess,83.9,7.47,,1244.83,unclassified
