Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity)
Aconitum Lake,00681JENR,Skeena,-131.6113456,59.39878624,1225,188.2082317,490,14,27,0.026349152,28,2,NR,#N/A,#N/A,2,1,404.1859598,12.45190105,27.4986709,0.170904802,65.25528,0.156460352,49,15
Aeroplane Lake,00804LKEC,Peace,-127.8835964,59.35338761,701,575.5689728,926,11,37,0.063312587,306,27.81818182,NR,#N/A,#N/A,2,0,557.669238,8.562570922,55.31462504,0.284528077,89.43434474,0.275918849,98,38
Airline Lake,01324NATR,Omineca,-125.0488664,55.11597715,917,434.6630609,842,6,19,0.026079784,94,15.66666667,NR,#N/A,#N/A,2,1,492.108801,8.154853123,60.81465094,0.206112281,9.49339192,0.191973698,57,42
Aishihik,YT_Aishihik,Yukon,-137.151679,61.452,915,14500,649,37.6,114,5.45,61,1.622340426,FR,2456,0.16937931,5,4,484.7902389,8.3587141,53.64557801,0.203556436,37.12618236,0.189352763,219,154
Atlin,00020ATLL,SkeenaYT,-133.77075,59.6006,670,63450,812,85.6,283,54.4,100,1.168224299,PR,#N/A,#N/A,5,4,489.7792974,9.093551997,39.31298586,0.127555864,132.6218544,0.114399231,404,194
Augier Lake,02159BABL,Skeena,-125.5966092,54.42491263,890,906.1793655,893,27,60.3,0.244668429,60,2.222222222,FR,#N/A,#N/A,4,2,636.7095729,10.55549357,59.58209142,0.19186575,10.33584637,0.177451148,39,20
Bednesti Lake,00344LCHL,Omineca,-123.393494,53.86681545,810,263.1427599,1147,8,20.7,0.021051421,90,11.25,FR,#N/A,#N/A,4,1,565.2979324,8.318801736,66.05782261,0.189779444,18.61935099,0.175342015,21,10
Bennett,00013KUSR,SkeenaYT,-134.864776,60.0859,656,9680,802,61.9,123,5.99,37.45,0.605008078,PR,1255,0.12964876,4,3,402.0631747,5.905333195,71.98093731,0.371254129,-20.25773129,0.377784977,87,73
Bigfoot Lake,00016JENR,Skeena,-131.2413553,59.66178977,1171,307.4579353,469,8.78,22,0.026994807,26,2.961275626,NR,#N/A,#N/A,2,2,465.8401499,12.46143543,20.86509747,0.111642998,218.9731231,0.099392482,104,41
Blue Swan Lake,02094LRAN,Skeena,-130.1995995,59.42553779,1497,202.4717848,328,14,43,0.02834605,18,1.285714286,NR,#N/A,#N/A,1,0,606.6103612,33.57534994,12.82241989,0.063413704,181.9184497,0.055238358,44,5
