Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5C,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity),Adult postmaturation lifespan (yrs)
Aconitum Lake,00681JENR,Skeena,-131.6113456,59.39878624,1225,188.2082317,490,14,27,0.026349152,28,2,NR,#N/A,#N/A,2,1,404.5,12.5,27.5,0.170,65.4,0.156,49,54,28.7
Aeroplane Lake,00804LKEC,Peace,-127.8835964,59.35338761,701,575.5689728,926,11,37,0.063312587,306,27.81818182,NR,#N/A,#N/A,2,0,557.9,8.7,53.5,0.275,99.9,0.266,98,98,26.0
Airline Lake,01324NATR,Omineca,-125.0488664,55.11597715,917,434.6630609,842,6,19,0.026079784,94,15.66666667,NR,#N/A,#N/A,2,1,534.2,9.3,54.4,0.182,40.8,0.168,57,59,48.8
Aishihik,YT_Aishihik,Yukon,-137.151679,61.452,915,14500,649,37.6,114,5.45,61,1.622340426,FR,2456,0.16937931,5,4,484.4,8.4,53.6,0.203,37.4,0.189,219,274,22.6
Atlin,00020ATLL,SkeenaYT,-133.77075,59.6006,670,63450,812,85.6,283,54.4,100,1.168224299,PR,#N/A,#N/A,5,4,490.0,9.1,39.3,0.128,132.4,0.115,404,366,38.9
Augier Lake,02159BABL,Skeena,-125.5966092,54.42491263,890,906.1793655,893,27,60.3,0.244668429,60,2.222222222,FR,#N/A,#N/A,4,2,627.2,10.4,59.4,0.188,11.4,0.174,39,41,40.2
Bednesti Lake,00344LCHL,Omineca,-123.393494,53.86681545,810,263.1427599,1147,8,20.7,0.021051421,90,11.25,FR,#N/A,#N/A,4,1,565.9,8.3,65.7,0.187,19.7,0.174,21,14,10.0
Bennett,00013KUSR,SkeenaYT,-134.864776,60.0859,656,9680,802,61.9,123,5.99,37.45,0.605008078,PR,1255,0.12964876,4,3,402.7,5.9,71.0,0.366,-16.4,0.374,87,94,30.7
Bigfoot Lake,00016JENR,Skeena,-131.2413553,59.66178977,1171,307.4579353,469,8.78,22,0.026994807,26,2.961275626,NR,#N/A,#N/A,2,2,466.6,12.7,20.4,0.109,222.7,0.097,104,104,24.8
Blue Swan Lake,02094LRAN,Skeena,-130.1995995,59.42553779,1497,202.4717848,328,14,43,0.02834605,18,1.285714286,NR,#N/A,#N/A,1,0,583.7,31.8,12.8,0.065,182.3,0.057,44,51,2.6
Bridge Lake,00903BRID,Cariboo,-120.7540149,51.5090886,1136,1366.313857,999,14,47,0.19128394,134,9.571428571,PR,#N/A,#N/A,4,1,429.2,5.7,84.6,0.464,-50.6,0.502,153,60,27.7
Canyon,YT_Canyon,Yukon,-137.013194,61.1272,899,870,681,4.9,14,0.043,72,14.69387755,PR,#N/A,#N/A,5,2,471.1,10.7,24.7,0.091,213.5,0.081,40,43,29.7
Captain Lake,01138LRAN,Skeena,-129.6925627,59.75458876,954,182.6628892,651,17,69,0.031052691,266,15.64705882,NR,#N/A,#N/A,1,0,379.2,10.3,23.7,0.182,139.5,0.168,51,49,24.0
Carbon Lake,00213PCEA,Peace,-122.5678158,55.97639011,925,62.94090234,912,13,26,0.008182317,157,12.07692308,FR,#N/A,#N/A,3,0,281.9,4.1,54.9,0.416,57.3,0.437,176,190,15.3
Caribou,YT_Caribou,Yukon,-134.266032,60.526,818,32,738,7.26,28,0.002,241.6666667,33.28741966,PR,89,2.78125,4,0,333.5,5.4,46.5,0.333,89.1,0.346,21,34,28.7
Chapman Lake,00726BABL,Skeena,-126.6680253,54.92033839,787,670.5836327,914,13,28.73,0.087175872,63,4.846153846,FR,#N/A,#N/A,3,2,693.4,16.6,34.5,0.101,123.1,0.090,36,55,7.5
Cluculz Lake,01091NECR,Omineca,-123.5782916,53.87956588,767,1943.681737,1147,29,60,0.563667704,118,4.068965517,PR,#N/A,#N/A,5,3,766.8,19.5,28.3,0.062,222.8,0.054,31,63,7.7
Cold Fish Lake,00051SPAT,Skeena,-128.8162413,57.67989869,1230,803.4176512,463,21,55.7,0.168717707,68,3.238095238,NR,#N/A,#N/A,2,0,489.7,14.8,21.0,0.120,193.5,0.108,173,169,17.9
Cunningham Lake,00725STUL,Omineca,-125.3977945,54.59043135,742,3148.923121,996,25,64.9,0.78723078,124,4.96,FR,#N/A,#N/A,2,3,524.9,11.2,41.7,0.096,61.0,0.085,136,203,45.2
Dall Lake,00435TURN,Peace,-127.6361498,58.59409844,784,949.3223654,878,10,38,0.094932237,54,5.4,NR,#N/A,#N/A,2,2,577.7,17.5,18.0,0.062,267.2,0.054,89,88,20.9
